Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t51,588,3,3,D1,,Sym.off,,,,,35,,76,,882,6.39,2.37,2.65
t51,753,4,1,D1,,Sym.off,,,,,55.8,,224,,876,6.54,3.03,2.18
t51,755,4,1,D1,,Sym.off,,,,,59.1,,56,,864,7.03,2.02,3.54
t51,181,1,4,C0,,Tac.mel,,,,,40.9,,95,,812,1.94,1.14,1.29
t51,331,2,2,C0,,Tac.mel,,,,,34.7,,197,,839,4.33,2.18,2.01
t51,499,3,1,C0,,Tac.mel,,,,,37.5,,254,,865,4.08,2.24,1.98
t51,81,1,2,D1,,Tac.mel,,,,,39.7,,154,,814,6.55,2.46,2.72
t51,88,1,2,D1,,Tac.mel,,,,,42.3,,284,,870,6.71,2.84,2.44
t51,437,2,5,D1,,Tac.mel,,,,,35.5,,67,,833,6.52,1.95,3.18
t51,570,3,3,D1,,Tac.mel,,,,,30.4,,191,,539,5.09,2.14,2.43
t51,574,3,3,D1,,Tac.mel,,,,,36.8,,305,,816,6.26,2.19,2.92
t51,90,1,2,D1,,Vir.sur,,,,,45.9,,220,,841,6.78,2.05,3.21
t51,95,1,2,D1,,Vir.sur,,,,,50.2,,139,,828,7.46,1.76,4.25
t51,314,2,2,C0,,Vir.sur,,,,,39.9,,102,,797,8.36,2.11,3.95
t51,315,2,2,C0,,Vir.sur,,,,,50,,158,,882,8.53,2.34,3.64
t51,427,2,5,D1,,Vir.sur,,,,,36.4,,224,,882,7.56,1.73,4.38
t51,454,3,1,C0,,Vir.sur,,,,,48.1,,137,,908,6.85,2.37,2.72
t51,770,4,1,D1,,Vir.sur,,,,,49.2,,127,,863,8.28,2.61,3.37
t51,774,4,1,D1,,Vir.sur,,,,,54.3,,197,,913,7.12,1.68,4.39
t57,224,1,4,C0,,Epe.fal,,,,,34,,184,,833,8.1,2.078,3.914
t57,494,3,1,C0,,Epe.fal,,,,,30.3,,150,,799,9.2,2.432,3.784
t57,925,4,5,C0,,Epe.fal,,,,,41.9,,91,,841,5.93333333,1.275,4.65166667
t57,129,1,3,D2,,Epe.fal,,,,,48.6,,91,,732,6.2,1.332,4.662
t57,135,1,3,D2,,Epe.fal,,,,,45.4,,125,,817,5.9,1.67333333,3.59666667
t57,250,2,1,D2,,Epe.fal,,,,,37.9,,86,,828,5.9,1.258,4.692
t57,649,3,4,D2,,Epe.fal,,,,,48.2,,118,,825,7.11666667,1.625,4.41166667
t57,823,4,2,D2,,Epe.fal,,,,,50.4,,139,,823,6.48333333,2.11666667,3.07666667
t57,170,1,4,C0,,Iry.hos,,,,,31.8,,46,,781,2.16,0.608,3.668
t57,458,3,1,C0,,Iry.hos,,,,,36.6,,118,,798,4.58,0.995,4.652
t57,460,3,1,C0,,Iry.hos,,,,,48.1,,126,,813,7.24,1.284,5.948
t57,145,1,3,D2,,Iry.hos,,,,,36,,58,,451,2.56666667,1.94444444,1.57333333
t57,150,1,3,D2,,Iry.hos,,,,,48.2,,51,,788,5.525,1.6675,3.4775
t57,637,3,4,D2,,Iry.hos,,,,,45.1,,35.5,,833,2.79,1.467,1.929
t57,638,3,4,D2,,Iry.hos,,,,,35.2,,33.5,,819,5.1,1.51571429,3.39571429
t57,639,3,4,D2,,Iry.hos,,,,,41.1,,48.5,,793,1.65,0.95,1.76166667
t57,113,1,3,D2,,Vir.sur,,,,,34.5,,69,,753,3.82,1.048,3.68
t57,216,1,4,C0,,Jac.cop,,,,,33.7,,300,,823,6.75,2.39,2.825
t57,483,3,1,C0,,Jac.cop,,,,,36.6,,345,,698,5.88571429,2.36857143,2.49
t57,485,3,1,C0,,Jac.cop,,,,,36.4,,360,,537,5.13333333,5.08166667,1.01166667
t57,322,2,2,C0,,Pte.off,,,,,57.2,,67,,844,10.8142857,3.24428571,3.33428571
t57,226,2,1,D2,,Sym.off,,,,,54.8,,182,,810,8.24,3.27,2.522
t57,229,2,1,D2,,Sym.off,,,,,42.4,,188,,768,6,2.052,2.94
t57,232,2,1,D2,,Sym.off,,,,,26.6,,11.4,,784,3.1,0.82,3.78
t57,235,2,1,D2,,Jac.cop,,,,,47.2,,55,,806,4.85,1.475,3.29166667
t57,236,2,1,D2,,Jac.cop,,,,,44.5,,71,,812,3.16,1.058,2.988
t57,239,2,1,D2,,Jac.cop,,,,,31,,114,,572,3.8,2.40833333,1.57833333
t57,240,2,1,D2,,Jac.cop,,,,,27.5,,33,,496,5.9,1.80166667,3.27666667
